Year,Total,q25_age,q50_age,q75_age,q25_pop,q50_pop,q75_pop
1900,76094000,10.595164,22.933767,38.814552,19023500.000,38047000.000,57070500.000
1905,83822000,10.984291,23.514629,39.295843,20955500.000,41911000.000,62866500.000
1910,92407000,11.436400,24.106340,39.802611,23101750.000,46203500.000,69305250.000
1915,100546000,11.559934,24.693076,40.626167,25136500.000,50273000.000,75409500.000
1920,106461000,11.627292,25.332851,41.511508,26615250.000,53230500.000,79845750.000
1925,115829000,11.975471,25.691711,42.303167,28957250.000,57914500.000,86871750.000
1930,123076741,12.826640,26.540382,43.452517,30769185.250,61538370.500,92307555.750
1935,127250232,13.965526,27.894716,44.964326,31812558.000,63625116.000,95437674.000
1940,132122446,15.035938,29.072299,46.359316,33030611.500,66061223.000,99091834.500
1945,139928165,15.173239,29.950898,47.351042,34982041.250,69964082.500,104946123.750
1950,152271417,13.693755,30.180383,47.832188,38067854.250,76135708.500,114203562.750
1955,165931202,12.261198,30.170766,48.222848,41482800.500,82965601.000,124448401.500
1960,180671158,11.777357,29.427034,48.532330,45167789.500,90335579.000,135503368.500
1965,194302963,12.198116,28.142809,48.862749,48575740.750,97151481.500,145727222.250
1970,205052174,13.399396,27.931103,49.461610,51263043.500,102526087.000,153789130.500
1975,215973199,14.910829,28.707515,50.300813,53993299.750,107986599.500,161979899.250
1980,227209582,16.305608,30.037285,50.999907,56802395.500,113604791.000,170407186.500
1985,237898441,17.120094,31.436279,50.877585,59474610.250,118949220.500,178423830.750
1990,249622814,17.323828,32.841157,50.580509,62405703.500,124811407.000,187217110.500
1995,266278393,17.258048,34.137576,50.857441,66569598.250,133139196.500,199708794.750
2000,282162411,17.527909,35.349931,51.894738,70540602.750,141081205.500,211621808.250
2005,295516599,18.108994,36.330480,53.359494,73879149.750,147758299.500,221637449.250
2010,309349689,18.656908,37.122222,54.970164,77337422.250,154674844.500,232012266.750
2015,320738994,19.541101,37.827970,56.890483,80184748.500,160369497.000,240554245.500
2020,331577720,20.001816,38.538993,58.318680,82894430.000,165788860.000,248683290.000
2025,342034432,20.859618,39.334558,59.662165,85508608.000,171017216.000,256525824.000
